"","dataset","imputation_method","model","metric","metric_value"
"188","openml_dataset_4","mice_default","classif.ranger","f1",1
"189","openml_dataset_4","mice_default","classif.xgboost","auc",0.890625
"190","openml_dataset_4","mice_default","classif.xgboost","f1",0.875
"191","openml_dataset_55","mice_default","classif.rpart","auc",0.766304347826087
"192","openml_dataset_55","mice_default","classif.rpart","f1",0.869565217391304
"193","openml_dataset_55","mice_default","classif.glmnet","auc",0.853260869565217
"194","openml_dataset_55","mice_default","classif.glmnet","f1",0.867924528301887
"195","openml_dataset_55","mice_default","classif.kknn","auc",0.823369565217391
"196","openml_dataset_55","mice_default","classif.kknn","f1",0.888888888888889
"197","openml_dataset_55","mice_default","classif.ranger","auc",0.885869565217391
"198","openml_dataset_55","mice_default","classif.ranger","f1",0.916666666666667
"199","openml_dataset_55","mice_default","classif.xgboost","auc",0.817934782608696
"200","openml_dataset_55","mice_default","classif.xgboost","f1",0.91304347826087
"201","openml_dataset_56","mice_default","classif.rpart","auc",0.966761363636364
"202","openml_dataset_56","mice_default","classif.rpart","f1",0.923076923076923
"203","openml_dataset_56","mice_default","classif.glmnet","auc",0.965056818181818
"204","openml_dataset_56","mice_default","classif.glmnet","f1",0.925373134328358
"205","openml_dataset_56","mice_default","classif.kknn","auc",0.952840909090909
"206","openml_dataset_56","mice_default","classif.kknn","f1",0.875
"207","openml_dataset_56","mice_default","classif.ranger","auc",0.984090909090909
"208","openml_dataset_56","mice_default","classif.ranger","f1",0.939393939393939
"209","openml_dataset_56","mice_default","classif.xgboost","auc",0.967329545454545
"210","openml_dataset_56","mice_default","classif.xgboost","f1",0.923076923076923
"211","openml_dataset_6332","mice_default","classif.rpart","auc",0.72432915921288
"212","openml_dataset_6332","mice_default","classif.rpart","f1",0.8
"213","openml_dataset_6332","mice_default","classif.glmnet","auc",0.76994633273703
"214","openml_dataset_6332","mice_default","classif.glmnet","f1",0.763888888888889
"215","openml_dataset_6332","mice_default","classif.kknn","auc",0.797495527728086
"216","openml_dataset_6332","mice_default","classif.kknn","f1",0.791044776119403
"217","openml_dataset_6332","mice_default","classif.ranger","auc",0.888372093023256
"218","openml_dataset_6332","mice_default","classif.ranger","f1",0.825174825174825
"219","openml_dataset_6332","mice_default","classif.xgboost","auc",0.765831842576029
"220","openml_dataset_6332","mice_default","classif.xgboost","f1",0.8
"221","openml_dataset_944","mice_default","classif.rpart","auc",0.845454545454545
"222","openml_dataset_944","mice_default","classif.rpart","f1",0.787878787878788
"223","openml_dataset_944","mice_default","classif.glmnet","auc",0.821212121212121
"224","openml_dataset_944","mice_default","classif.glmnet","f1",0.814814814814815
"225","openml_dataset_944","mice_default","classif.kknn","auc",0.903030303030303
"226","openml_dataset_944","mice_default","classif.kknn","f1",0.827586206896552
"227","openml_dataset_944","mice_default","classif.ranger","auc",0.890909090909091
"228","openml_dataset_944","mice_default","classif.ranger","f1",0.857142857142857
"229","openml_dataset_944","mice_default","classif.xgboost","auc",0.887878787878788
"230","openml_dataset_944","mice_default","classif.xgboost","f1",0.785714285714286
"231","openml_dataset_1018","missForest","classif.rpart","auc",0.5
"232","openml_dataset_1018","missForest","classif.rpart","f1",0.967911318553092
"233","openml_dataset_1018","missForest","classif.glmnet","auc",0.857205874294482
"234","openml_dataset_1018","missForest","classif.glmnet","f1",0.967892586106246
"235","openml_dataset_1018","missForest","classif.kknn","auc",0.703452243958573
"236","openml_dataset_1018","missForest","classif.kknn","f1",0.962219598583235
"237","openml_dataset_1018","missForest","classif.ranger","auc",0.890443311962299
"238","openml_dataset_1018","missForest","classif.ranger","f1",0.968421052631579
"239","openml_dataset_1018","missForest","classif.xgboost","auc",0.817337936325278
"240","openml_dataset_1018","missForest","classif.xgboost","f1",0.967343336275375
"241","openml_dataset_1590","missForest","classif.rpart","auc",0.852910399764108
"242","openml_dataset_1590","missForest","classif.rpart","f1",0.635104507680685
"243","openml_dataset_1590","missForest","classif.glmnet","auc",0.90383782125457
"244","openml_dataset_1590","missForest","classif.glmnet","f1",0.642092154420921
"245","openml_dataset_1590","missForest","classif.kknn","auc",0.851098097069017
"246","openml_dataset_1590","missForest","classif.kknn","f1",0.602626123013131
"247","openml_dataset_1590","missForest","classif.ranger","auc",0.918146515595747
"248","openml_dataset_1590","missForest","classif.ranger","f1",0.681962411520625
"249","openml_dataset_1590","missForest","classif.xgboost","auc",0.881048165284297
"250","openml_dataset_1590","missForest","classif.xgboost","f1",0.639586028460543
"251","openml_dataset_188","missForest","classif.rpart","auc",0.913482918940772
"252","openml_dataset_188","missForest","classif.rpart","f1",0.822429906542056
"253","openml_dataset_188","missForest","classif.glmnet","auc",0.958762886597938
"254","openml_dataset_188","missForest","classif.glmnet","f1",0.815533980582524
"255","openml_dataset_188","missForest","classif.kknn","auc",0.909642207398423
"256","openml_dataset_188","missForest","classif.kknn","f1",0.803921568627451
"257","openml_dataset_188","missForest","classif.ranger","auc",0.96078431372549
"258","openml_dataset_188","missForest","classif.ranger","f1",0.796116504854369
"259","openml_dataset_188","missForest","classif.xgboost","auc",0.895189003436426
"260","openml_dataset_188","missForest","classif.xgboost","f1",0.769230769230769
"261","openml_dataset_23381","missForest","classif.rpart","auc",0.546875
"262","openml_dataset_23381","missForest","classif.rpart","f1",0.333333333333333
"263","openml_dataset_23381","missForest","classif.glmnet","auc",0.538194444444444
"264","openml_dataset_23381","missForest","classif.glmnet","f1",0.375
"265","openml_dataset_23381","missForest","classif.kknn","auc",0.475043402777778
"266","openml_dataset_23381","missForest","classif.kknn","f1",0.276923076923077
"267","openml_dataset_23381","missForest","classif.ranger","auc",0.525607638888889
"268","openml_dataset_23381","missForest","classif.ranger","f1",0.3125
"269","openml_dataset_23381","missForest","classif.xgboost","auc",0.56640625
"270","openml_dataset_23381","missForest","classif.xgboost","f1",0.358208955223881
"271","openml_dataset_27","missForest","classif.rpart","auc",0.868560606060606
"272","openml_dataset_27","missForest","classif.rpart","f1",0.873563218390805
