"","dataset","imputation_method","model","metric","metric_value"
"790","openml_dataset_4","VIM_kknn","classif.xgboost","f1",0.941176470588235
"791","openml_dataset_40536","VIM_kknn","classif.rpart","auc",1
"792","openml_dataset_40536","VIM_kknn","classif.rpart","f1",1
"793","openml_dataset_40536","VIM_kknn","classif.glmnet","auc",1
"794","openml_dataset_40536","VIM_kknn","classif.glmnet","f1",1
"795","openml_dataset_40536","VIM_kknn","classif.kknn","auc",0.775786686451085
"796","openml_dataset_40536","VIM_kknn","classif.kknn","f1",0.448888888888889
"797","openml_dataset_40536","VIM_kknn","classif.ranger","auc",1
"798","openml_dataset_40536","VIM_kknn","classif.ranger","f1",0.985507246376812
"799","openml_dataset_40536","VIM_kknn","classif.xgboost","auc",1
"800","openml_dataset_40536","VIM_kknn","classif.xgboost","f1",1
"801","openml_dataset_55","VIM_kknn","classif.rpart","auc",0.728260869565217
"802","openml_dataset_55","VIM_kknn","classif.rpart","f1",0.897959183673469
"803","openml_dataset_55","VIM_kknn","classif.glmnet","auc",0.864130434782609
"804","openml_dataset_55","VIM_kknn","classif.glmnet","f1",0.867924528301887
"805","openml_dataset_55","VIM_kknn","classif.kknn","auc",0.858695652173913
"806","openml_dataset_55","VIM_kknn","classif.kknn","f1",0.91304347826087
"807","openml_dataset_55","VIM_kknn","classif.ranger","auc",0.891304347826087
"808","openml_dataset_55","VIM_kknn","classif.ranger","f1",0.916666666666667
"809","openml_dataset_55","VIM_kknn","classif.xgboost","auc",0.826086956521739
"810","openml_dataset_55","VIM_kknn","classif.xgboost","f1",0.844444444444444
"811","openml_dataset_56","VIM_kknn","classif.rpart","auc",0.984943181818182
"812","openml_dataset_56","VIM_kknn","classif.rpart","f1",0.939393939393939
"813","openml_dataset_56","VIM_kknn","classif.glmnet","auc",0.994034090909091
"814","openml_dataset_56","VIM_kknn","classif.glmnet","f1",0.941176470588235
"815","openml_dataset_56","VIM_kknn","classif.kknn","auc",0.982670454545455
"816","openml_dataset_56","VIM_kknn","classif.kknn","f1",0.892307692307692
"817","openml_dataset_56","VIM_kknn","classif.ranger","auc",0.992045454545455
"818","openml_dataset_56","VIM_kknn","classif.ranger","f1",0.955223880597015
"819","openml_dataset_56","VIM_kknn","classif.xgboost","auc",0.984943181818182
"820","openml_dataset_56","VIM_kknn","classif.xgboost","f1",0.918032786885246
"821","openml_dataset_6332","VIM_kknn","classif.rpart","auc",0.758497316636851
"822","openml_dataset_6332","VIM_kknn","classif.rpart","f1",0.796992481203007
"823","openml_dataset_6332","VIM_kknn","classif.glmnet","auc",0.796422182468694
"824","openml_dataset_6332","VIM_kknn","classif.glmnet","f1",0.811594202898551
"825","openml_dataset_6332","VIM_kknn","classif.kknn","auc",0.808228980322004
"826","openml_dataset_6332","VIM_kknn","classif.kknn","f1",0.805970149253731
"827","openml_dataset_6332","VIM_kknn","classif.ranger","auc",0.914132379248658
"828","openml_dataset_6332","VIM_kknn","classif.ranger","f1",0.869565217391304
"829","openml_dataset_6332","VIM_kknn","classif.xgboost","auc",0.754203935599284
"830","openml_dataset_6332","VIM_kknn","classif.xgboost","f1",0.775193798449613
"831","openml_dataset_944","VIM_kknn","classif.rpart","auc",0.893939393939394
"832","openml_dataset_944","VIM_kknn","classif.rpart","f1",0.857142857142857
"833","openml_dataset_944","VIM_kknn","classif.glmnet","auc",0.821212121212121
"834","openml_dataset_944","VIM_kknn","classif.glmnet","f1",0.814814814814815
"835","openml_dataset_944","VIM_kknn","classif.kknn","auc",0.824242424242424
"836","openml_dataset_944","VIM_kknn","classif.kknn","f1",0.814814814814815
"837","openml_dataset_944","VIM_kknn","classif.ranger","auc",0.884848484848485
"838","openml_dataset_944","VIM_kknn","classif.ranger","f1",0.814814814814815
"839","openml_dataset_944","VIM_kknn","classif.xgboost","auc",0.918181818181818
"840","openml_dataset_944","VIM_kknn","classif.xgboost","f1",0.814814814814815
